Model,Release date,Max resolution,Low resolution,Zoom wide (W),Zoom tele (T),Normal focus range,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,1997,1024,640,38,114,70,420,95,179
Agfa ePhoto 1680,1998,1280,640,38,114,50,420,158,179
Agfa ePhoto CL18,2000,640,0,45,45,0,0,0,179
Agfa ePhoto CL30,1999,1152,640,35,35,0,0,0,269
Agfa ePhoto CL30 Clik!,1999,1152,640,43,43,50,300,128,1299
Agfa ePhoto CL45,2001,1600,640,51,51,50,270,119,179
Agfa ePhoto CL50,1999,1280,640,34,102,0,0,0,179
Canon PowerShot 350,1997,640,0,42,42,70,320,93,149
Canon PowerShot 600,1996,832,640,50,50,40,460,160,139
Canon PowerShot A10,2001,1280,1024,35,105,76,375,110,139
Canon PowerShot A100,2002,1280,1024,39,39,20,225,110,139
Canon PowerShot A20,2001,1600,1024,35,105,76,375,110,139
Canon PowerShot A200,2002,1600,1024,39,39,20,225,110,139
Canon PowerShot A30,2002,1280,1024,35,105,76,350,110,139
Canon PowerShot A300,2003,2048,1600,33,33,20,225,111,139
Canon PowerShot A310,2004,2048,1600,33,33,0,205,110,139
Canon PowerShot A40,2002,1600,1024,35,105,76,350,110,139
Canon PowerShot A400,2004,2048,1600,45,100,0,255,107,139
Canon PowerShot A410,2005,2048,1600,41,131,0,195,103,139
Canon PowerShot A420,2006,2272,1600,39,125,47,200,103,139
Canon PowerShot A430,2006,2272,1600,39,156,47,210,103,139
Canon PowerShot A450,2007,2592,2048,38,122,47,215,106,139
Canon PowerShot A460,2007,2592,2048,38,152,47,215,106,139
Canon PowerShot A5,1998,1024,512,35,35,50,240,105,149
Canon PowerShot A50,1999,1280,640,28,70,50,290,103,149
Canon PowerShot A510,2005,2048,1600,35,140,0,230,91,139
Canon PowerShot A520,2005,2272,1600,35,140,0,230,91,149
Canon PowerShot A530,2006,2592,2048,35,140,45,220,90,149
Canon PowerShot A540,2006,2816,2272,35,140,45,230,90,149
Canon PowerShot A550,2007,3072,2592,35,140,45,210,91,149
Canon PowerShot A560,2007,3072,2592,35,140,45,205,91,149
