Model,Release date,Max resolution,Low resolution,Zoom wide (W),Zoom tele (T),Normal focus range,Weight (inc. batteries),Dimensions,Price,Brand
Canon PowerShot A720 IS,2007,3264,2592,35,210,55,250.0,97.0,399,Canon
Canon PowerShot G1,2000,2048,1024,34,102,70,490.0,120.0,499,Canon
Canon PowerShot G2,2001,2272,1600,34,102,70,510.0,121.0,499,Canon
Canon PowerShot G3,2002,2272,1600,35,140,50,490.0,121.0,499,Canon
Canon PowerShot G6,2004,3072,2592,35,140,50,467.0,105.0,499,Canon
Canon PowerShot G7,2006,3648,2816,35,210,50,380.0,106.0,499,Canon
Canon PowerShot G9,2007,4000,3264,35,210,50,370.0,106.0,499,Canon
Canon PowerShot S10,1999,1600,1280,35,70,46,320.0,106.0,399,Canon
Canon PowerShot S20,2000,2048,1024,32,64,66,320.0,106.0,399,Canon
Canon PowerShot S2 IS,2005,2592,2048,36,432,50,505.0,113.0,399,Canon
Canon PowerShot S30,2001,2048,1600,35,105,80,323.0,112.0,399,Canon
Canon PowerShot S3 IS,2006,2816,2272,36,432,50,510.0,113.0,399,Canon
Canon PowerShot S50,2003,2592,1600,35,105,50,323.0,112.0,399,Canon
Canon PowerShot S5 IS,2007,3264,2272,36,432,50,550.0,117.0,399,Canon
Canon PowerShot SD700 IS,2006,2816,2272,35,140,45,195.0,90.0,384,Canon
Canon PowerShot SD850 IS,2007,3264,2272,35,140,45,195.0,90.0,384,Canon
Canon PowerShot SD950 IS,2007,4000,3264,36,133,50,205.0,96.0,384,Canon
Fujifilm FinePix 3800,2002,2048,1600,38,228,80,400.0,100.0,399,Fujifilm
Fujifilm FinePix S20 Pro,2004,2832,2016,35,210,50,597.0,121.0,1699,Fujifilm
Fujifilm FinePix S602Z,2002,2832,2048,35,210,50,590.0,121.0,399,Fujifilm
Fujifilm FinePix S602Z Pro,2002,2832,2048,35,210,50,590.0,121.0,1699,Fujifilm
Fujifilm FinePix Z10  fd,2007,3072,2304,38,114,60,160.0,91.0,399,Fujifilm
Olympus C-1,2001,1280,640,35,35,50,190.0,110.0,1699,Olympus
Olympus D-370,2001,1280,1024,35,35,60,190.0,123.0,1699,Olympus
Olympus D-380,2002,1600,1024,35,35,60,250.0,123.0,1699,Olympus
Olympus D-150Z,2001,1280,640,38,114,50,190.0,110.0,1699,Olympus
Olympus C-2,2001,1600,1024,36,36,50,220.0,110.0,1699,Olympus
Olympus C-21,1999,1600,1024,38,38,60,190.0,107.0,1699,Olympus
Olympus C-3000 Zoom,2000,2048,1600,32,96,80,380.0,109.0,1699,Olympus
Olympus C-300 Zoom,2002,1984,1600,36,100,80,300.0,118.0,1699,Olympus
Olympus C-3020 Zoom,2001,2048,1600,32,96,80,380.0,109.0,1699,Olympus
Olympus C-3030 Zoom,2000,2048,1600,32,96,80,380.0,109.0,1699,Olympus
Olympus C-3040 Zoom,2000,2048,1600,35,105,80,420.0,109.0,1699,Olympus
Olympus D-40 Zoom,2001,2272,2048,35,98,80,270.0,87.0,1699,Olympus
Olympus C-5000 Zoom,2003,2560,2272,38,114,50,280.0,105.0,449,Olympus
Olympus C-5050 Zoom,2002,2560,2288,35,105,80,480.0,114.0,449,Olympus
Olympus C-50 Zoom,2002,2560,2048,38,114,50,230.0,100.0,449,Olympus
Olympus C-60 Zoom,2004,2816,2560,38,114,40,230.0,99.0,449,Olympus
Olympus C-700 UZ,2001,1600,1280,38,380,60,340.0,108.0,449,Olympus
Olympus C-720 UZ,2002,1984,1600,40,320,60,340.0,108.0,449,Olympus
Olympus C-730 UZ,2002,2048,1600,38,380,60,400.0,108.0,449,Olympus
Olympus C-740 UZ,2003,2048,1600,38,380,60,340.0,108.0,449,Olympus
Olympus C-750 UZ,2003,2288,2048,38,380,60,340.0,108.0,449,Olympus
Olympus C-765 UZ,2004,2288,2048,38,380,60,310.0,105.0,449,Olympus
Olympus C-770 UZ,2004,2288,2048,38,380,60,310.0,105.0,449,Olympus
Olympus D-300L,1996,1024,512,36,36,50,320.0,145.0,1699,Olympus
Olympus D-340L,1998,1280,640,36,36,70,320.0,128.0,1699,Olympus
Olympus D-340R,1999,1280,640,36,36,70,320.0,128.0,1699,Olympus
Olympus D-360L,2000,1280,640,36,36,50,280.0,128.0,1699,Olympus
Olympus D-390,2003,1600,1024,35,35,50,230.0,108.0,1699,Olympus
